,text,class,id
0,"Virat Kohli 
#TrovoIndia #PredictManOfTheMatch #ManOfTheMatch
#PredictAndWin #ICCWorldCup #cricket #WorldCup2019 #IndiaVsBangladesh #DealOfTheDay
Join here guys 
@SwapnaliGopale
@vermamver1
@nandesh_soni",0,880
1,Big shout out to @Qdoscricket replacing one of the players bats next day! Amazing service and great bats  #cricket,0,881
2,"Cool
.
.
.
Ulta Cool
.
.
.
Yuzvendra-Chahal-6-wicket-hall-against-Australia-in-Australia Cool

 @yuzi_chahal #INDvsAUS #Cricket #3rdODI #TeamIndia",0,882
3,"New Zealand, Batting score (177-1)

#ContestAlert #ContestAlertIndia #ContestIndia #Giveaway #GiveawayAlert #Giveaways #CricketMeriJaan #Cricket #Rapperholic19 #rapper #rappers
@CricketSwag247 

Join
@abha_mishra19
@wasimkh00
@Aaravsingh28
@karan875
@avii4ever
@Devanginee",0,883
4,"2019 U19 Asia Cup:
1st SEMI FINAL,
 India U19 vs Sri Lanka U19:
TOMORROW at 9:30 AM IST 
#IndU19vSLU19 @BCCI #TeamIndia @OfficialSLC 

2nd SEMI FINAL,
Afghanistan U19 vs Bangladesh U19:
TOMORROW at 9:30 AM IST 
#U19AsiaCup @ACCMedia1 @ACBofficials @BCBtigers #Cricket",0,884
5,Done team!! #cricket,0,885
6,"JBL Tune 120TWS (Truly Wireless)              #TheJBLEdge
#JBL
#DareToListen
#WhereYourMusicsAt #InsideEdge2 #InsideEdge
#Cricket",0,886
7,"Today One Match Abondoned, 2nd Delay on Toss, 3rd also Raining
England is Hail for Cricket
#VitalityBlast #Cricket",0,887
8,Loughborough Lightning v Lancashire Thunder #cricket,0,888
9,"There is alteration in punishments for maintaining a slow over rate
Captains no longer to get suspension..
but players to face point deductions in the ICC Test Championship for breaches (ICC) 
#Cricket",0,889
10,If #Pakistan #Cricket #Team wins today's match against #Australia #Cricket #Team  #CWC  will definitely lose its beauty.,0,890
11,"@ChaharDeepak9 - Man of the Match

@krunalpandya24 - Man Of the Series

#WIvIND #INDvWI #Cricket",0,891
12,Well played england finally some fighting spirit with the bat.. Can we? #ENGAUS #Ashes #Ashes2019 #digin #canwe #root #cricket,0,892
13,"A. India will win by an innings

#India #Bangladesh #Cricket #PinkBall #TestMatch #Predict #Winner #Win #Contest #ContestAlert #Mohan #Aludecor

Join
@aaaChatterjee1 @Aaravsingh28 @SharmaPayal97 @PayalKamat @Gunuchandwani @candy_musu @MusicALi12 @Rishi92677869 @rishuk1",0,893
14,"INDIA
#WiNiT #SiXiT #Contest #Predict #maximumWickets @sixitsports #comment #RT #Share #INDvWI #cricket #India #WestIndies #INDvWI #WednesdayMotivation
@RUMANA78600
@hamzash44897493
@ShakirS98686708
@blessedkamal
@khemka_nidhi
@snow_man_14",0,894
15,"#contest #tweeple #KXIPvDC #IPL2019 #win #SiXiT #performanceunmatched #cricket #alert #DCvKXIP #punjab #delhi
Delhi Capitals will Win 
#DC will take maximum wicket 

Join here guys 
@Burningdesiire5 @Xuperman541 @Sagar14Naik @NANDYRICHIK7 @justin40martan ",0,895
16,"Another top ton by captain SKY! 
102*(70) against Baroda in Ranji

@surya_14kumar Judged those balls with perfection 
#RanjiTrophy #GameOfDot #GameOfDot #BDAvMUM #KhelogeTohJeetoge #Cricket",0,896
17,"Meanwhile, events in #Pakistan. 

1.Steven Butler, who is a coordinator for Committee to Protect Journalists (CPJ) Asia is sent back to #USA via #Doha from Pak. @CPJAsia

2.#SarfarazAhmed dropped due to drop in overall form. 

They may reverse the decison for 1, not 2.

#Cricket",0,897
18,"Ive thought about it, test #cricket is the perfect sport:
- doesn't start til about 11, the correct time to start anything 
- almost immediately they all decide 'lunch'. There's even drinks breaks and a tea break
- the first sign of inclement weather and it's 'feck this I'm",0,898
19,"#Cricket You reap what you sow. England's obsession with & prioritizing of white ball formats, has bred a generation of test batsman who play with hard hands, have zero discipline, are unable to graft an innings, have 0 patience, who think they can hit their way out of trouble.",0,899
20,"My team for world 11 will be-
David warner
Shai hope
Kane williamson
Eoin morgan
Keiron pollard
Jos buttler(wk) 
Glenn maxwell
Adil rashid
Jofra archer
Kagiso rabada
Mitchell starc
12.13.14.15
Quintin de kock
Sheldon cotrell
Moeen ali
Jason roy/aron finch
#Cricket
@CricketAus",0,900
21,"Guess a winners.....#India #cricket #CricketNews
#Bangladesh #INDvsBAN #WINNER @sachin_rt @virendersehwag @harbhajan_singh @ICC @BCCI @BCBtigers",0,901
22,"Sarfraz Sacked from T20 & Test - (Good)
Azhar Ali appointed as Test Capt - (Not Bad)
Babar Azam as T20 Capt - (Good but a bit too Early)
Now the Question is Will we see Sarfraz in Team Again - (Don't think so)
Who will lead the Team in ODI - (Karachi Wala ofcourse)
#Cricket",0,902
23,I love that #Cricket fans across the world are getting a first class example of why us Brits are obsessed with the weather. More changes over five days than a compelling test match. @cricketworldcup @SkyCricket #CricketWorldCup2019 @ESPNcricinfo @cricbuzz #AUSvPAK,0,903
24,I suspect he was also to blame for the #proteas poor showing at the #cricket,0,904
25,"Well played Fakhar & Asif, now you’ve a chance to be replaced by new players.

#AUSvsPAK #Cricket",0,905
26,"#ICC #Cricket World Cup 2019
#AUSvPAK , Match 17
#AUS 277/4 (42 ov)
U Khawaja 18*
Shaun Marsh 21*

#pakvaus
#Icccwc",0,906
27,Somerset v Kent #cricket,0,907
28,"#Cricket #AFGvIRE #T20i #Match #Records #Congratulations!
#Afghanistan Cricket Team Breaks World T20i Cricket Records. 
278/3 - Highest T20I Total
236 - Highest partnership
16 - Most sixes in an individual innings 162* - Second-highest score 42 balls - Third-fastest men's ton.",0,908
29,"Anything under 250 and West Indies have a good chance of winning. That's just the nature of the pitch! 

#Cricket #T20 #WIvsINDA #RallyHard",0,909
30,"200* against @OfficialCSA in #ODI  , congrats @sachin_rt the man who made #Cricket  popular in #India  and #wordwide",0,910
31,"Australia won by 35 runs

AUS - 272/9 (50.0 Ovs)
IND - 237-all out (50.0 Ovs)

CRR:  4.74
#AUSVSIND #CricketComesHome #Cricket #cricketaustralia",0,911
32,"Good Decision by #PCB. 
I have a question, why he was in the team for so long ? 
Sarfaraz should take retirement.
#SarfrazAhmed #sarfraz #PCB #BCCIPresident #Cricket",0,912
33,"INDIA will win the match
@GyftrIndia
#GyFTR #WorldCup #Cricket #India #NewZealand #contest #ContestIndia #COMPETITION #Amazon
Joining
@Dazzlingcutie1 @NehaManocha7 @harshd_406 @sanchitabhartiy @blessedkamal @Mrfreaky79 @rashmibapna1107 @FLYINMINI @NishantJain_88",0,913
34,"#INDvBAN #TEST #Cricket

M Mithun Under 12.5 runs @ 1.91 (Bet365) - 2.5 points

#inplaymagic
#topsportstips",0,914
35,"The last time @englandcricket lost to @CricketAus at Edgbaston was in 2001. 
2001 was @brisbanelions first premiership. Is history repeating? @AFL @cricketcomau #believe #cricket #AFL #golions #news #Ashes2019 #ENGvAUS #sport",0,915
36,"England is the only country in the world that's been world champions in cricket, rugby & football #cricket #rugby #football #england",0,916
37,"Two more #cricket fixtures this week:

U14 take on @Team_Walkden at @WorsleyCC tomorrow (weather permitting!)

U15 take on @StMonicasPE at @PrestwichSport on Thursday",0,917
38,James Vince gets his 50 (off 62 balls). 30.3 overs gone. England 176-4 and need 298 to win v Australia. #ODI #cricket,0,918
39,Surely PCB won't take a sec to sideline Mickey & prefer local coach who's been former test cricketer & has a remarkable name in Pakistan Cricket. Why? coz PCB now wants HeadCoach to stay in Pakistan & work in Camps/NCA when Int. tours are off & Mickey won't accept this.#cricket,0,919
40,"Sri Lanka become the first Asian team to win a test series in South Africa since re-admission.
Great character shown by the SL team, and a well team effort.
#SAvsSL #Cricket",0,920
41,"Q10. I am a country that will be hosting India in all 3 formats of Cricket in 2020. Who am I?
#ThebbFoodWorldCup #bigbasket #Cricket #WorldCup #Contest #ContestAlert
@Contest_in @ContestIndia_",0,921
42,"Most sixes in T20I ings: 16 Zazai v Ire today 14 FinchvEng, 2013 13 RichardLevi vNZ, 2012 12 EvinLewis vIndia, 2017 11 Gayle vEng, 2016 #AFGvIRE #Cricket",0,922
43,"Not Out 

#OnTheStrike #INDvBAN
#MaxxisTyres #CWC19 #ContestAlert #ContestIndia #Cricket

Guy's follow @MaxxisTyreIndia
@bhelman9 @itsazeena @abhilashp28645 @acidkidrock @Star_roseR",0,923
44,@SashaBanksWWE is the sweetest ever ! I cant believe i met her. #cricket #cricketwireless #SashaBanks,0,924
45,": #T20 fever hits our screens again! 

A healthy dose of #cricket is always welcomed. 
#sscricket",0,925
46,"Many Many Happy returns of the day @BhuviOfficial.
I still remember your 1st debut 1st ball. It was fantabulous.
#Cricket #India #wicket",0,926
47,First games of the season tomorrow  1st XI away @aandbcc                                      2nd XI home @Ticknallcc  good luck to all involved #cricket #burtoncc,0,927
48,"Record breaking innings by Afghan Openers in #ICC #Cricket history.
Superb inning by #Hazrat_Zazai individuall.",0,928
49,"President’s Family Day

August 26, 2019 at 11:00 – 17:00

 #President’s #Cricket Match 

 Bouncy Castle 

 Face Painting 

 Past players lunch at 1pm

Patrons & Association Vice Presidents are also welcome but please DM so I can inform Lance Keene",0,929
50,"Follow us for all the latest news about all the major T20 leagues around the world as well as the @T10League and the Hundred.

#T20Watch #cricket",0,930
