,text,class
0,"""But he spake the more vehemently, If I should die with thee, I will not deny thee in any wise. Likewise also said they all."" ~Mark 14:31 #Love #Bible #God",love
1,"#SaturdayMotivation #JesusChrist #peace #love #HolySpirit #JesusSaves 
Live a life worthy.. be completely humble and gentle.. patient.. bearing with one another in love.. make every effort to keep the unity of the Spirit through the bond of peace. Ephesians 4:1-3",love
2,HOTD #60: Jesus is a necromancer. #fACTS #heresy #love #jesus #death #necromancy,love
3,"""Art thou greater than our father Jacob, which gave us the well, and drank thereof himself, and his children, and his cattle?"" ~John 4:12 #Bible #God #Love",love
4,#love Got a young group of bachelorettes who love love LOVE the sours... see you tomorrow afternoon #sours #gabeer #favebrewery,love
5,"""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."" ~John 3:16 #Love #Bible #Jesus",love
6,"Glimpses of satan flashed as you unleashed on those young ladies. 
We see you. #TheGreatAwakening
#Life #babies #Love
",love
7,"""And five of them were wise, and five [were] foolish."" ~Matthew 25:2 #Bible #Love #Jesus",love
8,"When asked by @TheCandyShow if #SalmanRushdie in #love, answered “it’s none of your business” but he does admit he’s happy. “My favourite exchange in #WaitingForGodot is about whether they’re each #happy & what shall they do when they’re happy” #AGO",love
9,Just a bit has changed in 4 years of marriage   almost 18 years together with this amazing man. Happy Wedding Anniversary @got_beef_wif_keef #love,love
10,"love your progression brother, I believe in you!!!!! ill be waiting on those samples #Love",love
11,"You need a website. We want clients. Problem solved. DM us TODAY
#seo #webdeveloper #designer #websitedesign #interface #marketing #uidesign #creative #website #ux #startup #webdevelopment #ui #love #userexperience #business #branding #webdesigner #design #webdesign #web",love
12,God will wreck your plans when He sees that your plans are about to wreck you. #motivation #inspiration #success #life #quotes #fitness #love #entrepreneur,love
13,"DATO_

And that's why I smile
It's been a while
Since everyday and everything 
has felt this right

#love #mom #red #family
@mtwramirez",love
14,"Lots of pouting, posing girls on #Instagram. They used to irk me. Now I leave a heart. God knows if anyone is seeking attention, they are in need of it. #buildwomenup #buildpeopleup #love #heart",love
15,"""Suavemente"" is the Hispanic version of ""Back that ass up"" in terms of getting people hype. I watched someone run from one side of the room to another before Crespo could get the first note out
#music #art #weekendvibes #fiesta #party #life #love #comedy",love
16,Thank you so very much #love you all,love
17,"""Licorice, sage, nettle"" are good conbinations.

#NbclMaclTheory
#Love

Passion and Compassion
Expect Magic ",love
18,Love #love #LOVE #Love :),love
19,"""Verily I say unto you, I will drink no more of the fruit of the vine, until that day that I drink it new in the kingdom of God."" ~Mark 14:25 #Love #Bible #Jesus",love
20,"""For every one that doeth evil hateth the light, neither cometh to the light, lest his deeds should be reproved."" ~John 3:20 #Bible #Jesus #Love",love
