,text,class
0,"You may not control all the events that happen to you, but you can decide not to be reduced by them. 
― Maya Angelou #quote",quote
1,Life doesn't get easier or more forgiving; we get stronger and more resilient. - Steve Maraboli #quote,quote
2,Every exit is an entry somewhere else. -Tom Stoppard #quote,quote
3,It’s simple arithmetic: Your income can grow only to the extent that you do. – T. Harv Eker #quote,quote
4,"""The stock market is filled with individuals who know the price of everything, but the value of nothing."" - Phillip Fisher #quote #investing",quote
5,"Education is what remains after one has forgotten what one has learned in school. 
― Albert Einstein #quote
RT to share the wisdom  :)",quote
6,Watch your mouth: The language we use creates the reality we experience.-Michael Hyatt #quote,quote
7,"Raise your words, not voice. It is rain that grows flowers, not thunder. - Rumi #quote",quote
8,"Knowledge speaks, but wisdom listens. - Jimi Hendrix #quote",quote
9,"Chemistry is great, but eventually your relationship moves out of the laboratory. 
— Tim Fargo #quote",quote
10,"Those who follow the crowd usually get lost in it.
#MotivationalQuoteOfTheDay #Inspiration #Motivation #FridayMotivation
#Quote #Wise #WiseFridays",quote
11,Age is no barrier. It’s a limitation you put on your mind.– Jackie Joyner Kersee #sport #quote,quote
12,"""I never believed in destiny until it led me to you. Never put much stock in wishes, but you made mine come true. Didn't think that soulmates existed, then I saw you and I knew, that dreams become reality with magic made by two."" - John Mark Green & Christy Martine #quote",quote
13,Why not go out on a limb? That's where the fruit is. #quote #entrepreneur #success #leadership #inspiration,quote
14,The future belongs to those who believe in the beauty of their dreams. -Eleanor Roosevelt #quote,quote
15,"Cry so you no feel hurt and frustrated.

#quote #Wattpad #MicahReid #BlossomedLoveAfterHatred #_ashmita_ghimire #chapter4",quote
16,God puts dreams in your heart that are bigger than you so that you will rely on Him and His power. ~ Tony Evans #quote #Godisgood #inspiration #success Via @ LifePowerQuotes,quote
17,"“People who push themselves to their limits make piece with their limitations and avoid regrets at the end of the day and the at the end of their life. They give their all. It is the difference between being able to say, “I am glad I did” versus “I wish I had.”” G. Keller 
#quote",quote
18,If Mary was only 14 when she had Jesus What does that make God? - Otep Shamaya #quote,quote
19,Success is doing ordinary things extraordinarily well. - Jim Rohn #quote,quote
20,"All the secrets of the world are contained in books. Read at your own risk.
― Lemony Snicket #quote",quote
21,All that we see or seem is but a dream within a dream. - Edgar Allan Poe #quote,quote
22,I'm not going to let school get in the way of my child's education. - Mitch Joel #quote,quote
23,"You never fail until you stop trying. 
― Albert Einstein #quote",quote
24,"To affect the quality of the day, that is the highest of arts. - Henry David Thoreau #quote",quote
25,"Skills are cheap. Passion is priceless. – Gary Vaynerchuk #quote
RT to share the wisdom  :)",quote
26,"“Catching a fly ball is pleasure, but knowing what to do with it after you catch it is a business.” Tommy Henrich #MLB #Quote",quote
27,"There is no stress in the world, only people thinking stressful thoughts.– Wayne Dyer #quote",quote
28,"Don't look for it outside. Joy is always in you, all you've got to do is awaken to it. - Roxana Jones #quote",quote
29,"Great minds are always feared by lesser minds. 
― Dan Brown #quote",quote
30,Belief in Love from the Universe sets Hope free to guide my Soul. ~ @LeeHillerLondon #quote,quote
31,"Folks are usually about as happy as they make their minds up to be. 
― Abraham Lincoln #quote",quote
32,Life's tragedy is that we get old too soon and wise too late. - Benjamin Franklin #quote,quote
33,"RT @nickystevo: I don’t trust easily, so when I tell you I trust you, don’t make me regret it!  #Trust #CarriageOfTrust #SaturdayMotivation #ThinkBIGSundayWithMarsha #Quote #IQRTG #Repost https://twitter.com/nickystevo/status/1083853927185928192/photo/1pic.twitter.com/0icZtwItCE ",quote
34,Have courage. It clears the way for things that need to be. - Laura Fitton #quote,quote
35,I have no special talents. I am only passionately curious. - Albert Einstein #quote,quote
36,"It is the mark of an educated mind to be able to entertain a thought without accepting it. 
― Aristotle #quote
RT to share the wisdom  :)",quote
37,Aim for the highest. #quotes #quote,quote
38,"Enjoy the little things, for one day, you may look back and realize they were the big things.
Robert Brault #quote",quote
39,Never give! Failure and rejection are only the first step to succeeding. ~ Jimmy Valvano #leadership #quote via_ via_fab_ayo,quote
40,"Be loving towards yourself, then you will be able to love others too.
Osho #quote",quote
41,"""I'm always ravenous. Hungry for your eyes to land on me. Jealous of the air you breathe. My soul is full of want for you."" - Alfa #quote",quote
42,"Some people take offense like it's a limited time offer. 
— Tim Fargo #quote
RT to share the wisdom  :)",quote
43,"Remember this: Anticipation is the ultimate power. Losers react; leaders anticipate. – Tony Robbins #quote
RT to share the wisdom  :)",quote
44,"Wherever there is authority, there is a natural inclination to disobedience. - Thomas Haliburton #quote",quote
45,Learn to say ‘no’ to the good so you can say ‘yes’ to the best.– John Maxwell #quote,quote
46,"Be strong enough to let go, and patient enough to wait for what you deserve. – Simone Thiel #quote",quote
47,"If you don’t have some self doubts and fears when you pursue a dream, then you haven’t dreamed big enough. – Joe Vitale #quote",quote
48,Forget seizing the moment. Seize the opportunity.― Tim Fargo #quote #mondaymotivation,quote
49,We must be our own before we can be another’s. #quote,quote
50,Tell more people that you love them. You never know how much they might need it. - Chris Brogan #quote,quote
51,"Feeling fear is human, but conquering it will make you feel empowered, courageous, and proud. – Alex Niles #quote",quote
52,"""It was not by gold or by silver, but by labour, that all the wealth of the world was originally purchased."" - #adamsmith #quote #thewealthofnations",quote
53,"Some people never go crazy. What truly horrible lives they must lead. 
― Charles Bukowski #quote",quote
54,"Listening, not imitation, may be the sincerest form of flattery. - Dr. Joyce Brothers #quote",quote
55,"Those who are free of resentful thoughts surely find peace.
Buddha #quote",quote
56,"Remember, your worth is founded in #Jesus Christ not man.~ Archbishop Derrick Young #Quote",quote
57,“One possibility is: God is nothing but the power of the universe to organize itself.”  -- Lee Smolin #Cosmology #Quote #TeamFollowback,quote
58,It is when you give of yourself - that you truly give : Kahil Gibran #Quote,quote
59,"""Don't gain the world and lose your soul, wisdom is better than silver or gold."" #quote #lyrics",quote
60,Nothing in the world is more common than unsuccessful people with talent. - Brian Tracy #quote,quote
61,"Success is getting what you want, happiness is wanting what you get. 
― W.P. Kinsella #quote
RT to share the wisdom  :)",quote
62,"To live a creative life, we must lose our fear of being wrong. - Joseph C. Pearce #quote",quote
63,"How do you spell 'love'?"" - Piglet
""You don't spell it...you feel it."" - Pooh. 
― A.A. Milne #quote",quote
64,"Life's under no obligation to give us what we expect.
― Margaret Mitchell #quote",quote
65,The only guarantee for failure is to stop trying.– John Maxwell #quote,quote
66,"Faith is taking the first step even when you can't see the whole staircase. 
― Martin Luther King Jr. #quote",quote
67,"The journey of a thousand miles begins with a single step. 
― Lao Tzu #quote",quote
68,Life’s a journey. It’s a journey about discovering limits. – Larry Ellison #quote,quote
69,"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it. 
― Maurice Switzer #quote",quote
70,A tiny leak can sink a ship.― Donald Trump #quote,quote
71,"The timing of your decision is just as important as the decision you make.– John Maxwell #quote
#askTNT",quote
72,"If you love someone, pray for them. Pray for their peace. Pray for
their growth. Pray for their success. Pray for their happiness.
#MotivationalQuoteOfTheDay #Inspiration #Motivation
#WednesdayMotivation #Quote #Wise #WiseWednesdays",quote
73,">Quote time<

•So tell me, where shall I go?
To the left, where there’s nothing right, or to the right, where there’s nothnig left.•

#quote",quote
74,I lay my Soul across the Forest floor listening to the wisdom of the earth. ~ @LeeHillerLondon #quote,quote
75,Don't let your happiness depend on something you may lose...!  [Manin] #Quote,quote
76,"The more one judges, the less one loves. Honoré de Balzac #quote",quote
77,Surviving is important. Thriving is elegant. - Maya Angelou #quote,quote
78,"""It's okay to have a different opinion, thats what's being human is about. But whats not okay is someone else oppressing you for it"" Me (probably) #quote",quote
79,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote,quote
80,One finds limits by pushing them. - Herbert Simon #quote,quote
81,Exhausting is okay. It means you're in the game. You're on the way up and you're not on the way down. - Lee Rosen #quote,quote
82,"There are far, far better things ahead than any we leave behind. 
― C.S. Lewis #quote",quote
83,"An entrepreneur without funding is a musician without an instrument. 
― Robert A. Rice Jr. #quote",quote
84,"Through love, we two are made one. Our relationship has DNA unlike any other; a new organism, inhabiting the universe. - John Mark Green  #quote",quote
85,"""Character got us out of bed, commitment moved us into action, & discipline enabled us to follow through.""

-Zig Ziglar #quoteoftheday #quote",quote
86,It's what you learn after you know it all that counts. - John Wooden #quote,quote
87,"The difference between genius and stupidity is; genius has its limits.
~Albert Einstein
 #quote #genius #stupidity",quote
88,You cannot overestimate the unimportance of practically everything.– John Maxwell #quote,quote
89,"A superior man is modest in his speech, but exceeds in his actions. - Confucius #quote",quote
90,"""Labour, therefore, is the real measure of the exchangeable value of all commodities. "" - #adamsmith #quote #thewealthofnations",quote
91,"When you judge another, you do not define them, you define yourself. – Wayne Dyer #quote
RT to share the wisdom  :)",quote
92,#Anger is just anger. It isnt good. It isn't bad. What u do with it is what matters. U can use it to build or to destroy.-Jim Butcher #quote,quote
93,Your talent is God's gift to you. What you do with it is your gift back to God. - Leo Buscaglia #quote ��,quote
94,The only person you are destined become is the person you decide to be. –  Ralph Waldo Emerson #quote,quote
95,"The weak can never forgive. Forgiveness is the attribute of the strong. 
― Mahatma Gandhi #quote",quote
96,You are the one who teaches other people how to treat you. What do you teach? - Chalene Johnson #quote,quote
97,"And in the end it is not the years in your life that count, it's the life in your years. 
― Abraham Lincoln #quote",quote
98,Always forgive your enemies; nothing annoys them so much - #OscarWilde #gsws #quote,quote
99,"Breathe, darling. This is just a chapter. It's not your whole story.
S.C. Lourie #quote",quote
