,text,class
0,"""There's nothing funny about an amazing meal"" #WIN",win
1,"False
#AbsaTop10 #WIN",win
2,#WIN tag needed mate,win
3,Worst thing that can happen after a #win is the losing opponent not having a Twitter account ,win
4,Thanks for the competition.  Good luck everyone!   #WIN #FreebieFriday,win
5,Dublin #January #HappyFriday #win,win
6,I won’t be surprised if @KDTrey5 joins the @Lakers & @KingJames bc KD will have a field day & pump up his scoring PPG w/LBJ as facilitator 1st & #help #Lakers #win #Championship #lakersnation #lakernation #LakeShow @ShannonSharpe @RealSkipBayless @stephenasmith @ColinCowherd @SFY,win
7,Enter for your chance to win a Little Passports subscription box  #giveaway #win @littlepassportshttps://mamathefox.com/2019/08/little-passports-giveaway,win
8,Enter for a chance to win $15 Payapl Cash  @womanmanyrole @Sweetsillysara #CASH #WIN //womanofmanyroles.com/oh-the-places-youll-go-back-to-school-giveaway-hop/,win
9,Parents #kids really want you to #win these Easter DVDs #Giveaway Ends 5/8 @Ncircle @las930 @s8r8l33 //newagemama.blogspot.com/2019/04/childrens-easter-film-festival-giveaway.html,win
10,Thinking about it.. #AntMan could go into the glove and supersize.. pull off the glove and #win... however he would have to come out of supertonic mode 1st?.. theory ruined #AvengerEndGame #5Days,win
11,Check out those smiles! #win,win
12,Awesome prize thank you #win #FingersCrossed,win
13,"#MyPerfectPizza  - My favourite topping is bacon, ham and extra cheese.
Thanks for the great prize and competition. #NationalPizzaDay #win",win
14,Can’t express how excited I was to find @lavuelta on @olympicchannel today!!!!! #morecycling #win,win
15,"FOLLOW & RT to enter our #competition...

You could #WIN a YEAR'S SUPPLY of our one hand grab household towel!

#FreebieFriday",win
16,Don't miss your chance to enter to #win a $10 Amazon GC! #Giveaway Ends 5/8 #MothersDayHop //www.practicalfrugality.com/oatmeal-brown-sugar-scrub/,win
17,Ok now THAT is just damn funny. #win,win
18,"Would love to #win this for my niece 
#perfume #beauty #lipstick #solippy #giveaways",win
19,"I would treat my son to a MILS boxer and socks gift set, he loves flamboyant socks #win",win
20,You could #WIN a @NewAirUSA 24 INCH BUILT IN 177 CAN BEVERAGE FRIDGE ($900 value) from @ThriftyNiftyMom! #Giveaway #sweeps #sweepstakes #entertowin //thriftyniftymommy.com/newair-24-inch-built-in-177-can-beverage-fridge-review/,win
