text,class,id
"Virat Kohli 
#TrovoIndia #PredictManOfTheMatch #ManOfTheMatch
#PredictAndWin #ICCWorldCup #cricket #WorldCup2019 #IndiaVsBangladesh #DealOfTheDay
Join here guys 
@SwapnaliGopale
@vermamver1
@nandesh_soni",cricket,880
Big shout out to @Qdoscricket replacing one of the players bats next day! Amazing service and great bats  #cricket,cricket,881
"Cool
.
.
.
Ulta Cool
.
.
.
Yuzvendra-Chahal-6-wicket-hall-against-Australia-in-Australia Cool

 @yuzi_chahal #INDvsAUS #Cricket #3rdODI #TeamIndia",cricket,882
"New Zealand, Batting score (177-1)

#ContestAlert #ContestAlertIndia #ContestIndia #Giveaway #GiveawayAlert #Giveaways #CricketMeriJaan #Cricket #Rapperholic19 #rapper #rappers
@CricketSwag247 

Join
@abha_mishra19
@wasimkh00
@Aaravsingh28
@karan875
@avii4ever
@Devanginee",cricket,883
"2019 U19 Asia Cup:
1st SEMI FINAL,
 India U19 vs Sri Lanka U19:
TOMORROW at 9:30 AM IST 
#IndU19vSLU19 @BCCI #TeamIndia @OfficialSLC 

2nd SEMI FINAL,
Afghanistan U19 vs Bangladesh U19:
TOMORROW at 9:30 AM IST 
#U19AsiaCup @ACCMedia1 @ACBofficials @BCBtigers #Cricket",cricket,884
Done team!! #cricket,cricket,885
"JBL Tune 120TWS (Truly Wireless)              #TheJBLEdge
#JBL
#DareToListen
#WhereYourMusicsAt #InsideEdge2 #InsideEdge
#Cricket",cricket,886
"Today One Match Abondoned, 2nd Delay on Toss, 3rd also Raining
England is Hail for Cricket
#VitalityBlast #Cricket",cricket,887
Loughborough Lightning v Lancashire Thunder #cricket,cricket,888
"There is alteration in punishments for maintaining a slow over rate
Captains no longer to get suspension..
but players to face point deductions in the ICC Test Championship for breaches (ICC) 
#Cricket",cricket,889
If #Pakistan #Cricket #Team wins today's match against #Australia #Cricket #Team  #CWC  will definitely lose its beauty.,cricket,890
"@ChaharDeepak9 - Man of the Match

@krunalpandya24 - Man Of the Series

#WIvIND #INDvWI #Cricket",cricket,891
Well played england finally some fighting spirit with the bat.. Can we? #ENGAUS #Ashes #Ashes2019 #digin #canwe #root #cricket,cricket,892
"A. India will win by an innings

#India #Bangladesh #Cricket #PinkBall #TestMatch #Predict #Winner #Win #Contest #ContestAlert #Mohan #Aludecor

Join
@aaaChatterjee1 @Aaravsingh28 @SharmaPayal97 @PayalKamat @Gunuchandwani @candy_musu @MusicALi12 @Rishi92677869 @rishuk1",cricket,893
"INDIA
#WiNiT #SiXiT #Contest #Predict #maximumWickets @sixitsports #comment #RT #Share #INDvWI #cricket #India #WestIndies #INDvWI #WednesdayMotivation
@RUMANA78600
@hamzash44897493
@ShakirS98686708
@blessedkamal
@khemka_nidhi
@snow_man_14",cricket,894
