,text,class
0,"Virat Kohli 
#TrovoIndia #PredictManOfTheMatch #ManOfTheMatch
#PredictAndWin #ICCWorldCup #cricket #WorldCup2019 #IndiaVsBangladesh #DealOfTheDay
Join here guys 
@SwapnaliGopale
@vermamver1
@nandesh_soni",cricket
1,Big shout out to @Qdoscricket replacing one of the players bats next day! Amazing service and great bats  #cricket,cricket
2,"Cool
.
.
.
Ulta Cool
.
.
.
Yuzvendra-Chahal-6-wicket-hall-against-Australia-in-Australia Cool

 @yuzi_chahal #INDvsAUS #Cricket #3rdODI #TeamIndia",cricket
3,"New Zealand, Batting score (177-1)

#ContestAlert #ContestAlertIndia #ContestIndia #Giveaway #GiveawayAlert #Giveaways #CricketMeriJaan #Cricket #Rapperholic19 #rapper #rappers
@CricketSwag247 

Join
@abha_mishra19
@wasimkh00
@Aaravsingh28
@karan875
@avii4ever
@Devanginee",cricket
4,"2019 U19 Asia Cup:
1st SEMI FINAL,
 India U19 vs Sri Lanka U19:
TOMORROW at 9:30 AM IST 
#IndU19vSLU19 @BCCI #TeamIndia @OfficialSLC 

2nd SEMI FINAL,
Afghanistan U19 vs Bangladesh U19:
TOMORROW at 9:30 AM IST 
#U19AsiaCup @ACCMedia1 @ACBofficials @BCBtigers #Cricket",cricket
5,Done team!! #cricket,cricket
6,"JBL Tune 120TWS (Truly Wireless)              #TheJBLEdge
#JBL
#DareToListen
#WhereYourMusicsAt #InsideEdge2 #InsideEdge
#Cricket",cricket
7,"Today One Match Abondoned, 2nd Delay on Toss, 3rd also Raining
England is Hail for Cricket
#VitalityBlast #Cricket",cricket
8,Loughborough Lightning v Lancashire Thunder #cricket,cricket
9,"There is alteration in punishments for maintaining a slow over rate
Captains no longer to get suspension..
but players to face point deductions in the ICC Test Championship for breaches (ICC) 
#Cricket",cricket
10,If #Pakistan #Cricket #Team wins today's match against #Australia #Cricket #Team  #CWC  will definitely lose its beauty.,cricket
11,"@ChaharDeepak9 - Man of the Match

@krunalpandya24 - Man Of the Series

#WIvIND #INDvWI #Cricket",cricket
12,Well played england finally some fighting spirit with the bat.. Can we? #ENGAUS #Ashes #Ashes2019 #digin #canwe #root #cricket,cricket
13,"A. India will win by an innings

#India #Bangladesh #Cricket #PinkBall #TestMatch #Predict #Winner #Win #Contest #ContestAlert #Mohan #Aludecor

Join
@aaaChatterjee1 @Aaravsingh28 @SharmaPayal97 @PayalKamat @Gunuchandwani @candy_musu @MusicALi12 @Rishi92677869 @rishuk1",cricket
14,"INDIA
#WiNiT #SiXiT #Contest #Predict #maximumWickets @sixitsports #comment #RT #Share #INDvWI #cricket #India #WestIndies #INDvWI #WednesdayMotivation
@RUMANA78600
@hamzash44897493
@ShakirS98686708
@blessedkamal
@khemka_nidhi
@snow_man_14",cricket
15,"#contest #tweeple #KXIPvDC #IPL2019 #win #SiXiT #performanceunmatched #cricket #alert #DCvKXIP #punjab #delhi
Delhi Capitals will Win 
#DC will take maximum wicket 

Join here guys 
@Burningdesiire5 @Xuperman541 @Sagar14Naik @NANDYRICHIK7 @justin40martan ",cricket
16,"Another top ton by captain SKY! 
102*(70) against Baroda in Ranji

@surya_14kumar Judged those balls with perfection 
#RanjiTrophy #GameOfDot #GameOfDot #BDAvMUM #KhelogeTohJeetoge #Cricket",cricket
17,"Meanwhile, events in #Pakistan. 

1.Steven Butler, who is a coordinator for Committee to Protect Journalists (CPJ) Asia is sent back to #USA via #Doha from Pak. @CPJAsia

2.#SarfarazAhmed dropped due to drop in overall form. 

They may reverse the decison for 1, not 2.

#Cricket",cricket
18,"Ive thought about it, test #cricket is the perfect sport:
- doesn't start til about 11, the correct time to start anything 
- almost immediately they all decide 'lunch'. There's even drinks breaks and a tea break
- the first sign of inclement weather and it's 'feck this I'm",cricket
19,"#Cricket You reap what you sow. England's obsession with & prioritizing of white ball formats, has bred a generation of test batsman who play with hard hands, have zero discipline, are unable to graft an innings, have 0 patience, who think they can hit their way out of trouble.",cricket
20,"My team for world 11 will be-
David warner
Shai hope
Kane williamson
Eoin morgan
Keiron pollard
Jos buttler(wk) 
Glenn maxwell
Adil rashid
Jofra archer
Kagiso rabada
Mitchell starc
12.13.14.15
Quintin de kock
Sheldon cotrell
Moeen ali
Jason roy/aron finch
#Cricket
@CricketAus",cricket
21,"Guess a winners.....#India #cricket #CricketNews
#Bangladesh #INDvsBAN #WINNER @sachin_rt @virendersehwag @harbhajan_singh @ICC @BCCI @BCBtigers",cricket
22,"Sarfraz Sacked from T20 & Test - (Good)
Azhar Ali appointed as Test Capt - (Not Bad)
Babar Azam as T20 Capt - (Good but a bit too Early)
Now the Question is Will we see Sarfraz in Team Again - (Don't think so)
Who will lead the Team in ODI - (Karachi Wala ofcourse)
#Cricket",cricket
23,I love that #Cricket fans across the world are getting a first class example of why us Brits are obsessed with the weather. More changes over five days than a compelling test match. @cricketworldcup @SkyCricket #CricketWorldCup2019 @ESPNcricinfo @cricbuzz #AUSvPAK,cricket
