,text,class
0,#Theopen #PebbleBeach #Golf #Fs1 #Pga #Fox I'm trying to make my way back to you all,golf
1,#Golf #Srpga #Pga #USSeniorOpen #Fox #Usopen  I am sure they are doing something here Its the most Human town in Oregon everybody is welcome ..I think it is Oregon bahahahahahahah,golf
2,"I've played a lot of #BadGolf. I've shot double digits on a hole. I have a temper. Hell, I've quit #Golf four times.
But I don't think I've ever thrown my driver into the ocean. :)
#USOpen #USOPEN2019",golf
3,"""Golf is the only game I know of that actually becomes harder the longer you play it."" -Bobby Jones 
#bobbyjones #golf #pga #swingalign #swingtrainer #golfquotes",golf
4,Tell me a better #golf commentator today than @RileyWayne #SkySports #USOPEN2019 #Australia #legend,golf
5,"The uglier a man's legs are, the better he plays #golf - it's almost a law.",golf
6,Down to the #FinalFour of That's What G Said Best Golf Movies. Which of these is the better Golf Movie? #Golf,golf
7,Now that's #golfswag @GaryWoodland! Way to finish with style! #usopen #golf #GolfNews,golf
8,Suffolk lost 6-3 to @nlcga in the 1st day of county match week @AspleyGuiseGolf we go again tomorrow vs @EssexLadiesGolf #Suffolk #golf,golf
9,#USSeniorOpen #SRPGA #PGA #GOLF #UsOpen #Fs1 Lets Twist again like we did last summer Bhahahahhahhaahahahh,golf
10,Free Marketing Thats what Its all about #Fox #USOpen #PebbleBeach #Pga #Golf,golf
11,Your liars cheaters Murderers and thieves #Politician Your not good people Abuse Theft Killing is how you want to solve everything Your not good people ..  #Women #Soccer #Fs1 #Golf #Pga #Titliest #UN #ap #aclu,golf
12,#Golf #Srpga #Pga #USSeniorOpen #Fox #Usopen   based of your own commentary You may want to look into a pair of glasses doooooooooooooah Bahahahahaahahahaahah #Kelly,golf
13,Grass. I cut grass. I’ll never live this down. Haha #turf #golf,golf
14,Lets GO Tiger !!!!!!!!!!!!!!!!!!! #TigerWoods #Woods #Tiger #TheOpen #PebbleBeach #Golf #Fs1 #Pga,golf
15,#Theopen #PebbleBeach #Golf #Fs1 #Pga #Fox   Pop's as all You Dad's ...You Rock Kids ..Its a Great #FathersDay Gift .....,golf
16,I like when they called me kid too #TheOpen #PebbleBeach #Golf #Fs1 #Pga,golf
17,"Fun #USOpen fact: Every time Brooks Koepka wins the US Open, @TommyHajj wins the @SMFBL. Every time Brooks Koepka does not win the #USOpen? Someone else wins the @SMFBL. #SMFBL #Golf #Facts #FathersDay #ChernobylHBO",golf
18,Why so many divots on 16?! #usga #caddies #golf #usopen2019 #golfetiquette #pebblebeach,golf
19,How about a great Chip ..Class is something You all #Media have no idea what your talking about There is white class and they're is respect two entirely different things has nothing to do with golf #TheOpen #PebbleBeach #Golf #Fs1 #Pga,golf
20,Great start by Lashley (-9) in Detroit. #golf,golf
21,"scratch thats my goal for now 
   #USSeniorOpen #Golf #Pga #USOpen #Fs1",golf
22,Watching @PGA #golf @NickFaldo006 talking about #chipping around the green with 8 iron.  Good #advice for amateur #golfers !,golf
23,"Yelling “Get In The Hole” on the opening swing for a 500+ yard hole shouldn’t be a thing..... 
#USOpen #USGA #Golf #Birdies4Days",golf
24,Although #golf was my home.,golf
25,"Get putting coaching regularly, its ONLY the part of your game you use the most! #golf #tip #excellence #holeoutinlessshots",golf
26,Thursdays saver £10 a round #golf #offers,golf
27,@RLR21 the #golf last week was very enjoyable great coverage it's like AAA this week they got like 4 cameras @PGATOUR @CBS,golf
28,What’s your favourites small town gem?  #Artisans market?  #Restaurant? #Golf Course?  #Park?  Please share!,golf
29,#Theopen #Golf #Pga #PebbleBeach #Fox  could even throw out a line or two catch some fish ; ),golf
30,"Gary Woodland, baby. Long time coming. Great guy.  #USOpen #golf #PebbleBeach #PGATour",golf
31,"Well done Tiger Woods

Started like I do, ended like he does 
#USOpen #Golf",golf
32,Who will win the 2019 #USOpen? #golf #USOPEN2019 #podcast #podcastHQ #PodernFamily #podcasting #polls #poll #new #sports #PebbleBeach #justinrose #brookskoepka #tiger,golf
33,My #bestie talked me in to watching the #usopen my cousin talked me into #golf thank God people are naturally athletic in my family. #itsinthegenes,golf
34,It’s mental how the objective of #golf is to play as little golf as possible  ,golf
