,text,class
0,"Great music at the Rampage game. #oldschool #hardeock #heavymetal #satx #sanantonio #rampage #hockey It’s also a good game, but I’m not well informed on hockey.",hockey
1,"...and the results are in for the 2019/20 Dream Big Games #Hockey round!

@DeeplishPA - 24pts
Castleton Primary - 22pts 
@Brimrod_Primary - 15pts 
@Lowerplace_PS - 7pt 

Thank you to @DeeplishPA for hosting and well done on the well deserved victory overall 
#Champions",hockey
2,"@NHL @NHLJets @hockeynight They should refer the sea of #Winnipeg fans in white #TheCloud!  ...because they’re #Jets, and that’s where jets fly.  (Plus the fans actually look like a cloud with all their ambiguous movement.) #HockeyThoughts #NHL #Playoffs #Hockey #StanleyCup",hockey
3,"Predictions for Oct. 18th: Chicago, Colorado, Pittsburgh, Washington, Edmonton, Carolina #nhl #hockey",hockey
4,It's been a great day today so far. Excited to go officiate more #hockey tonight - The job is working out great. Making some new friends at work. And enjoying life. It's been peaceful and quiet these last few weeks. Cutting ties one day at a time with drama and fake friends.,hockey
5,Beep de boop Im the Brendan insult bot. Brendan will be a massive Minor League #Hockey fans @danennis100,hockey
6,"So, I start enthusiastically talking about the @NHLCanes and how great they are playing, when HE says +/- ""Hey, who cares? It's baseball season now.""
I'm gonna miss the SOB.
And what even IS ""Base Ball""?
#StanleyCup
#HOCKEY",hockey
7,"If #NHL commissioner Garry Bettman actually played #hockey, what would his nickname be with his teammates? #NHLFreeAgency2019 #NHLPA",hockey
8,"MI HS Hockey 12/26-12/27 most valuable performances: Heritage over Salem by 1, GRCC over Grandville by 3, Mona Shores over Jenison by 6!, Salem over TCW by 2, Heritage over Bay Reps by 3, Bay Reps over TCW by 1, Houghton/Calumet/Howell blowouts #MHSAA #hockey",hockey
9,"High sticking, tripping, slashing, spearing, charging, hooking, fighting, unsportsmanlike conduct, interference, roughing. That's #hockey.",hockey
10,Today is SUCH a hockey day!! Two @NWHL games (one being the Buffalo Believes Classic - yay!) & the @NHLFlyers plus writing about hockey . I’m in my happy place! #writing #hockey,hockey
11,St. Cloud State is a #hockey school,hockey
12,"#Hockey is like a disease, you can't really shake it.",hockey
13,Not a #Hockey lover ,hockey
14,"Wonder when they’ll finally move the @MiamiDolphins to Quebec City... 
.
.
(this is more of a #hockey  joke )",hockey
15,"Let’s make a deal! Free agency noon today. Oh, and happy Canada Day. #NHL #hockey #HappyCanadaDay #CanadaDay #sillyseason",hockey
16,What a wonderful time to find the Red Wings Development Camp 3-on-3 tourney streaming on the 'net! #RedWings #hockey #INeededThat,hockey
17,#Hockey is figure skating in a war zone -- #icehockey #humour,hockey
18,Welcome back to Chicago @shawz15er you are back were you always belong!!!!! #ChicagoBlackhawks #andrewshaw #blackhawks #chicago #hockey,hockey
19,"Wonderful, inspiring story. 

Every hockey fan is a @HumboldtBroncos fan. Wish you well @rstraz_ @strazsr 

Keep fighting.

#humboldtbroncos #Hockey",hockey
20,England’s women into the #EHC2019 Semi-Finals with a 4-3 win over Belarus. #EnglandHockey #Hockey,hockey
21,Q: What do you call a monkey that wins the Stanley Cup? A: A chimpion -- #icehockey #hockey #joke,hockey
22,May as well pit in and watch some more #WJC2020 with Fin vs Kaz this morning. #maybeineedanewhobby? #bored #hockey,hockey
23,"haha, I plugged in my ""metal playlist"" on spotify while watching part of the #LeafsForever hockeygame since I have to wear head phones due to sötis sleeping. It's awesome! Love #metal love #hockey #goleafsgo (but also #lovecanucks #vancouverislovely #secondlove )",hockey
24,".....did Grubhub just go after Jumbo.  Did he really think that was a good idea?????

#sjsharks #hockey",hockey
