,text,class
0,Congratulations on all your success Kevin it must be an honor working with #RalphLauren who just happens to share my Birthday and be my favorite designer. Keep me in Mind if you ever need a #MaleModel #RLPurpleLabel #Polo #KevinLove #RLEditorials #Menswear #Fashion #NBA #Purple,polo
1,"Rainy evening but there is a certain satisfaction in leaving the barn, #horses fed, #dogs happy in the straw, all is right with the world.  Sometimes, doing one thing well is the greatest #luxury.  #polo #equestrian #horsebarns #wellleavethelightonforyou",polo
2,"World Championship
Water Polo Men 7/14
Serbia +106
Croatia -303
Women
Spain -188
China -256
Italy -106

#Universiade
Hungary Univ -163
Italy -158
#Universiadi2019
#twittergambling #GamblingTwitter
#odds #Tips
#bettingtips
#bettingtipster #polo
#Bookiebashing #GamblingTwitter",polo
3,#VW #Polo drivers graduate to become #Audi drivers... the most useless and arrogant drivers on the road,polo
4,"For me the best of Coachella 2019: 
@Jauzofficial @GorgonCity #polo&pan @RufusDuSol @the1975 @NoraEnPure @childishgambino #Arizona @bazzi @Bobmosesmusic @gryffinofficial @billieeilish @tameimpala @bassnectar @Zedd @PUSHA_T #gesaffelstein @sofitukker @DillonFrancis @NGHTMRE ",polo
5,Careful Steve. You know they find the hole in a pineapple ring irresistible #polo,polo
6,"...#Polo shirts/sweaters, #Levis
501s & #StanSmiths...basically my uniform now  #ItAintRalphTho #adidasOriginals
#fashion",polo
7,"If that were a real creature, it’s going to need a lot more than one can of insect spray!  I’m thinking a good game of #polo or #golf might be a better solution!",polo
8,Looking forward to a weekend of polo with chukkas and lessons today!!! Challenge match @longdolepolocl tomorrow! #polo #arenapolo #hpacoach,polo
9,"@Zac_Hollis_ 

As we await MQB-A0, there’s a bit of concern about localisation for India. Quite a lots of (read Maruti Suzuki) Indian customers do not care for build quality. Hope VAG/Skoda doesn’t lose soul and design uniqueness. Proud to own #Polo",polo
10,$BTC.X #Polo! $GBTC,polo
